length,present,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,txtList.started,txtList.stopped,txtProbe.started,txtProbe.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,sound_1.started,sound_1.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,1,6,5,53,0,269.55584000004455,271.05659679998644,273.05828550015576,None,left,1,0.4099276000633836,273.05828550015576,None,273.4923595700413,None,basic,001,2021_Jun_09_0519,project2,2021.1.4,59.948839675440794,
3,1,6,6,54,1,274.07603050000034,275.57733610016294,277.57879010005854,None,left,1,0.7576091999653727,277.57879010005854,None,278.36278677014633,None,basic,001,2021_Jun_09_0519,project2,2021.1.4,59.948839675440794,
7,0,6,7,55,7,278.9467391001526,280.4477959999349,282.44947560015135,None,left,0,1.5319515001028776,282.44947560015135,None,284.00074186995624,None,basic,001,2021_Jun_09_0519,project2,2021.1.4,59.948839675440794,
3,0,7,0,56,5,284.6013553000521,286.1023544999771,288.10409789998084,None,right,1,0.7955595999956131,288.10409789998084,None,288.92163067013024,None,basic,001,2021_Jun_09_0519,project2,2021.1.4,59.948839675440794,
5,0,7,1,57,6,289.50532420002855,291.00638679997064,293.00815410004,None,right,1,0.6833325000479817,293.00815410004,None,293.7087545700371,None,basic,001,2021_Jun_09_0519,project2,2021.1.4,59.948839675440794,
1,0,7,2,58,4,294.292537700152,295.7939431001432,297.7956443000585,None,right,1,0.6857551001012325,297.7956443000585,None,298.51272637005894,None,basic,001,2021_Jun_09_0519,project2,2021.1.4,59.948839675440794,
3,1,7,3,59,1,299.09653230011463,300.5979514999781,302.5996467000805,None,left,1,0.4857411999255419,302.5996467000805,None,303.1166692700237,None,basic,001,2021_Jun_09_0519,project2,2021.1.4,59.948839675440794,
7,0,7,4,60,7,303.71733240014873,305.21827930002473,307.2198296999559,None,left,0,1.41687890002504,307.2198296999559,None,308.6544958700426,None,basic,001,2021_Jun_09_0519,project2,2021.1.4,59.948839675440794,
7,1,7,5,61,3,309.2384109001141,310.73910990008153,312.7410218999721,None,left,1,0.717664800118655,312.7410218999721,None,313.4750064700376,None,basic,001,2021_Jun_09_0519,project2,2021.1.4,59.948839675440794,
5,1,7,6,62,2,314.05891390005127,315.5600646000821,317.5617376000155,None,left,1,0.7205809000879526,317.5617376000155,None,318.31264416994526,None,basic,001,2021_Jun_09_0519,project2,2021.1.4,59.948839675440794,
1,1,7,7,63,0,318.8961712999735,320.39758510002866,322.39923350000754,None,left,1,1.2442757000681013,322.39923350000754,None,323.6668088699691,None,basic,001,2021_Jun_09_0519,project2,2021.1.4,59.948839675440794,
3,1,8,0,64,1,324.2339354001451,325.7348826001398,327.7367364000529,None,left,1,0.5106520999688655,327.7367364000529,None,328.2710020700935,None,basic,001,2021_Jun_09_0519,project2,2021.1.4,59.948839675440794,
7,1,8,1,65,3,328.87108199996874,330.3722534000408,332.3742415001616,None,left,1,1.2152241000439972,332.3742415001616,None,333.60824427013284,None,basic,001,2021_Jun_09_0519,project2,2021.1.4,59.948839675440794,
